n_sim,gamma,mse,mse_se
1,0.16720322465930818,0.009861408648958873,0.0
1,0.16735732629620645,0.009247050756098708,0.0
1,0.16751156995975847,0.011891625281405135,0.0
1,0.16766595578086207,0.006923175839445753,0.0
1,0.16782048389053572,0.009971471348853088,0.0
1,0.16797515441991864,0.06510779263164218,0.0
1,0.16812996750027095,0.010755060939321803,0.0
1,0.16828492326297373,0.009552704603165027,0.0
1,0.16844002183952908,0.007942865157379414,0.0
1,0.16859526336156036,0.010429881157584855,0.0
1,0.1687506479608122,0.00645403898888165,0.0
1,0.1689061757691508,0.01202438096897984,0.0
1,0.16906184691856366,0.006823688070674577,0.0
1,0.16921766154116008,0.027933653490477023,0.0
1,0.1693736197691711,0.007460929619756533,0.0
1,0.16952972173494948,0.008294924270098774,0.0
1,0.16968596757097026,0.010879736198401454,0.0
1,0.16984235740983034,0.010374574758756326,0.0
1,0.16999889138424887,0.011350274238233954,0.0
1,0.17015556962706735,0.011419244557673496,0.0
